order_id,order_date,sku_id,dc_id,ordered_quantity,fulfilled_quantity,status
ORD000001,2026-02-13,MED001,DC001,36.0,36.0,FULFILLED
ORD000002,2026-02-13,MED001,DC003,31.0,31.0,FULFILLED
ORD000003,2026-02-13,MED001,DC005,25.0,25.0,FULFILLED
ORD000004,2026-02-13,MED001,DC006,25.0,25.0,FULFILLED
ORD000005,2026-02-13,MED001,DC007,43.0,43.0,FULFILLED
ORD000006,2026-02-13,MED001,DC008,28.0,28.0,FULFILLED
ORD000007,2026-02-13,MED002,DC001,37.0,37.0,FULFILLED
ORD000008,2026-02-13,MED002,DC002,29.0,29.0,FULFILLED
ORD000009,2026-02-13,MED002,DC004,32.0,32.0,FULFILLED
ORD000010,2026-02-13,MED002,DC007,23.0,23.0,FULFILLED
ORD000011,2026-02-13,MED003,DC001,82.0,82.0,FULFILLED
ORD000012,2026-02-13,MED003,DC002,91.0,91.0,FULFILLED
ORD000013,2026-02-13,MED003,DC003,96.0,96.0,FULFILLED
ORD000014,2026-02-13,MED003,DC004,66.0,66.0,FULFILLED
ORD000015,2026-02-13,MED003,DC005,134.0,134.0,FULFILLED
ORD000016,2026-02-13,MED003,DC006,88.0,88.0,FULFILLED
ORD000017,2026-02-13,MED003,DC008,91.0,91.0,FULFILLED
ORD000018,2026-02-13,MED004,DC001,173.0,173.0,FULFILLED
ORD000019,2026-02-13,MED004,DC005,185.0,185.0,FULFILLED
ORD000020,2026-02-13,MED004,DC007,152.0,152.0,FULFILLED
ORD000021,2026-02-13,MED005,DC001,100.0,100.0,FULFILLED
ORD000022,2026-02-13,MED005,DC002,76.0,76.0,FULFILLED
ORD000023,2026-02-13,MED005,DC003,119.0,119.0,FULFILLED
ORD000024,2026-02-13,MED005,DC004,69.0,69.0,FULFILLED
ORD000025,2026-02-13,MED005,DC005,112.0,112.0,FULFILLED
ORD000026,2026-02-13,MED005,DC007,66.0,66.0,FULFILLED
ORD000027,2026-02-13,MED005,DC008,117.0,117.0,FULFILLED
ORD000028,2026-02-13,MED006,DC002,47.0,47.0,FULFILLED
ORD000029,2026-02-13,MED006,DC004,37.0,37.0,FULFILLED
ORD000030,2026-02-13,MED006,DC007,38.0,38.0,FULFILLED
ORD000031,2026-02-13,MED006,DC008,48.0,48.0,FULFILLED
ORD000032,2026-02-13,MED007,DC001,82.0,82.0,FULFILLED
ORD000033,2026-02-13,MED007,DC003,83.0,83.0,FULFILLED
ORD000034,2026-02-13,MED007,DC004,75.0,75.0,FULFILLED
ORD000035,2026-02-13,MED007,DC007,98.0,98.0,FULFILLED
ORD000036,2026-02-13,MED007,DC008,87.0,87.0,FULFILLED
ORD000037,2026-02-13,MED008,DC004,170.0,170.0,FULFILLED
ORD000038,2026-02-13,MED008,DC005,128.0,128.0,FULFILLED
ORD000039,2026-02-13,MED008,DC006,170.0,170.0,FULFILLED
ORD000040,2026-02-13,MED008,DC007,161.0,161.0,FULFILLED
