unique_id,expected_weekly_demand,total_available_stock,total_expected_writeoff,max_expiry_risk_score,worst_expiry_risk,batches_count
MED001_DC001,150.5,327.33999999999963,41.0,1.0,CRITICAL,20
MED001_DC002,150.5,262.1499999999988,35.0,1.0,CRITICAL,14
MED001_DC003,150.5,305.7800000000003,39.0,1.0,CRITICAL,15
MED001_DC004,150.5,267.13000000000045,36.0,1.0,CRITICAL,14
MED001_DC005,150.5,381.3199999999998,55.0,1.0,CRITICAL,16
MED001_DC006,150.5,215.0000000000001,31.0,1.0,CRITICAL,18
MED001_DC007,150.5,285.49000000000024,37.0,1.0,CRITICAL,20
MED001_DC008,150.5,339.83000000000004,42.0,1.0,CRITICAL,18
MED002_DC001,153.37,192.15999999999988,20.0,0.15,LOW,20
MED002_DC002,153.37,295.83000000000015,26.0,0.1025,LOW,20
MED002_DC003,153.37,320.79999999999995,27.0,0.15,LOW,15
MED002_DC004,153.37,215.3000000000001,22.0,0.15,LOW,20
MED002_DC005,153.37,301.2500000000002,26.0,0.1025,LOW,14
MED002_DC006,153.37,327.6299999999998,27.0,0.1025,LOW,17
MED002_DC007,153.37,175.15999999999983,18.0,0.15,LOW,16
MED002_DC008,153.37,325.7900000000002,27.0,0.15,LOW,17
MED003_DC001,489.15999999999997,1066.02,133.0,0.31,LOW,21
MED003_DC002,489.15999999999997,934.7099999999998,121.0,1.0,CRITICAL,21
MED003_DC003,489.15999999999997,423.7699999999998,38.0,1.0,CRITICAL,21
MED003_DC004,489.15999999999997,1313.8899999999999,188.0,1.0,CRITICAL,22
MED003_DC005,489.15999999999997,1198.5299999999995,171.0,1.0,CRITICAL,22
MED003_DC006,489.15999999999997,904.5599999999998,119.0,0.37000000000000005,LOW,20
MED003_DC007,489.15999999999997,1062.5100000000002,133.0,1.0,CRITICAL,21
MED003_DC008,489.15999999999997,716.5899999999997,102.0,1.0,CRITICAL,21
MED004_DC001,916.5799999999999,1292.2500000000005,132.0,0.1025,LOW,21
MED004_DC002,916.5799999999999,1940.519999999999,166.0,0.1025,LOW,23
MED004_DC003,916.5799999999999,2085.6600000000003,173.0,0.1025,LOW,23
MED004_DC004,916.5799999999999,1835.67,160.0,0.1025,LOW,24
MED004_DC005,916.5799999999999,1930.96,165.0,0.1025,LOW,23
MED004_DC006,916.5799999999999,2686.7800000000007,271.0,0.1025,LOW,23
MED004_DC007,916.5799999999999,2029.0000000000002,170.0,0.1025,LOW,22
MED004_DC008,916.5799999999999,1528.0799999999997,145.0,0.1025,LOW,22
MED005_DC001,346.15000000000003,428.83,61.0,1.0,CRITICAL,16
