date,sku_id,dc_id,opening_inventory,incoming_inventory,outgoing_inventory,closing_inventory,reserved_inventory,available_inventory
2026-02-13,MED001,DC001,1161.0,0.0,25.24,1135.76,109.0,1026.76
2026-02-13,MED001,DC002,2541.0,0.0,21.69,2519.31,126.0,2393.31
2026-02-13,MED001,DC003,2210.0,0.0,26.09,2183.91,153.0,2030.91
2026-02-13,MED001,DC004,2297.0,0.0,30.98,2266.02,149.0,2117.02
2026-02-13,MED001,DC005,2078.0,0.0,21.16,2056.84,159.0,1897.84
2026-02-13,MED001,DC006,995.0,0.0,21.16,973.84,137.0,836.84
2026-02-13,MED001,DC007,894.0,0.0,31.3,862.7,103.0,759.7
2026-02-13,MED001,DC008,1680.0,0.0,26.76,1653.24,83.0,1570.24
2026-02-13,MED002,DC001,769.0,0.0,24.32,744.68,88.0,656.68
2026-02-13,MED002,DC002,912.0,0.0,29.2,882.8,131.0,751.8
2026-02-13,MED002,DC003,2410.0,0.0,24.35,2385.65,211.0,2174.65
2026-02-13,MED002,DC004,735.0,0.0,24.34,710.66,43.0,667.66
2026-02-13,MED002,DC005,2339.0,0.0,27.75,2311.25,294.0,2017.25
2026-02-13,MED002,DC006,1760.0,0.0,17.36,1742.64,110.0,1632.64
2026-02-13,MED002,DC007,2118.0,0.0,18.27,2099.73,135.0,1964.73
2026-02-13,MED002,DC008,1525.0,0.0,23.87,1501.13,141.0,1360.13
2026-02-13,MED003,DC001,1882.0,0.0,70.63,1811.37,204.0,1607.37
2026-02-13,MED003,DC002,2626.0,0.0,89.18,2536.82,345.0,2191.82
2026-02-13,MED003,DC003,2517.0,0.0,72.1,2444.9,266.0,2178.9
2026-02-13,MED003,DC004,1631.0,0.0,65.05,1565.95,100.0,1465.95
2026-02-13,MED003,DC005,1449.0,0.0,105.27,1343.73,148.0,1195.73
2026-02-13,MED003,DC006,2614.0,0.0,81.63,2532.37,341.0,2191.37
2026-02-13,MED003,DC007,1201.0,0.0,85.73,1115.27,113.0,1002.27
2026-02-13,MED003,DC008,2311.0,0.0,64.88,2246.12,179.0,2067.12
2026-02-13,MED004,DC001,1363.0,0.0,151.75,1211.25,121.0,1090.25
2026-02-13,MED004,DC002,2417.0,0.0,160.33,2256.67,232.0,2024.67
2026-02-13,MED004,DC003,2475.0,0.0,143.81,2331.19,347.0,1984.19
2026-02-13,MED004,DC004,1499.0,0.0,163.8,1335.2,84.0,1251.2
2026-02-13,MED004,DC005,2098.0,0.0,151.01,1946.99,208.0,1738.99
2026-02-13,MED004,DC006,2590.0,0.0,155.06,2434.94,354.0,2080.94
2026-02-13,MED004,DC007,1307.0,0.0,151.0,1156.0,60.0,1096.0
2026-02-13,MED004,DC008,1755.0,0.0,183.13,1571.87,88.0,1483.87
2026-02-13,MED005,DC001,1494.0,0.0,86.72,1407.28,142.0,1265.28
2026-02-13,MED005,DC002,1963.0,0.0,62.97,1900.03,228.0,1672.03
2026-02-13,MED005,DC003,1480.0,0.0,105.74,1374.26,107.0,1267.26
2026-02-13,MED005,DC004,2510.0,0.0,59.26,2450.74,321.0,2129.74
2026-02-13,MED005,DC005,1412.0,0.0,113.54,1298.46,173.0,1125.46
2026-02-13,MED005,DC006,1873.0,0.0,42.46,1830.54,225.0,1605.54
2026-02-13,MED005,DC007,1010.0,0.0,56.82,953.18,53.0,900.18
2026-02-13,MED005,DC008,1084.0,0.0,91.51,992.49,110.0,882.49
2026-02-13,MED006,DC001,1732.0,0.0,38.35,1693.65,105.0,1588.65
2026-02-13,MED006,DC002,2494.0,0.0,32.94,2461.06,296.0,2165.06
2026-02-13,MED006,DC003,1520.0,0.0,30.2,1489.8,191.0,1298.8
2026-02-13,MED006,DC004,1147.0,0.0,28.43,1118.57,75.0,1043.57
2026-02-13,MED006,DC005,711.0,0.0,17.19,693.81,96.0,597.81
2026-02-13,MED006,DC006,2908.0,0.0,24.43,2883.57,153.0,2730.57
2026-02-13,MED006,DC007,2844.0,0.0,26.91,2817.09,217.0,2600.09
2026-02-13,MED006,DC008,927.0,0.0,41.4,885.6,51.0,834.6
2026-02-13,MED007,DC001,1245.0,0.0,80.96,1164.04,124.0,1040.04
2026-02-13,MED007,DC002,2174.0,0.0,49.37,2124.63,228.0,1896.63
2026-02-13,MED007,DC003,1337.0,0.0,80.67,1256.33,92.0,1164.33
2026-02-13,MED007,DC004,1610.0,0.0,70.04,1539.96,115.0,1424.96
2026-02-13,MED007,DC005,2172.0,0.0,65.66,2106.34,301.0,1805.34
2026-02-13,MED007,DC006,1574.0,0.0,84.98,1489.02,157.0,1332.02
2026-02-13,MED007,DC007,1353.0,0.0,91.27,1261.73,157.0,1104.73
2026-02-13,MED007,DC008,2182.0,0.0,89.78,2092.22,255.0,1837.22
2026-02-13,MED008,DC001,3034.0,0.0,156.97,2877.03,288.0,2589.03
2026-02-13,MED008,DC002,866.0,0.0,163.99,702.01,48.0,654.01
2026-02-13,MED008,DC003,1041.0,0.0,172.48,868.52,129.0,739.52
2026-02-13,MED008,DC004,1915.0,0.0,159.09,1755.91,100.0,1655.91
2026-02-13,MED008,DC005,1947.0,0.0,139.81,1807.19,150.0,1657.19
2026-02-13,MED008,DC006,1018.0,0.0,143.7,874.3,93.0,781.3
2026-02-13,MED008,DC007,957.0,0.0,131.5,825.5,90.0,735.5
2026-02-13,MED008,DC008,1811.0,0.0,130.31,1680.69,235.0,1445.69
2026-02-13,MED009,DC001,1779.0,0.0,208.44,1570.56,117.0,1453.56
2026-02-13,MED009,DC002,2150.0,0.0,220.33,1929.67,163.0,1766.67
2026-02-13,MED009,DC003,1273.0,0.0,189.1,1083.9,149.0,934.9
2026-02-13,MED009,DC004,1864.0,0.0,187.75,1676.25,84.0,1592.25
2026-02-13,MED009,DC005,2788.0,0.0,173.71,2614.29,158.0,2456.29
2026-02-13,MED009,DC006,1433.0,0.0,151.7,1281.3,72.0,1209.3
2026-02-13,MED009,DC007,2818.0,0.0,173.71,2644.29,320.0,2324.29
2026-02-13,MED009,DC008,2231.0,0.0,199.43,2031.57,207.0,1824.57
2026-02-13,MED010,DC001,1382.0,0.0,95.39,1286.61,112.0,1174.61
2026-02-13,MED010,DC002,727.0,0.0,148.08,578.92,34.0,544.92
2026-02-13,MED010,DC003,1549.0,0.0,10.32,1538.68,88.0,1450.68
2026-02-13,MED010,DC004,1887.0,0.0,123.63,1763.37,130.0,1633.37
2026-02-13,MED010,DC005,1404.0,0.0,123.58,1280.42,154.0,1126.42
2026-02-13,MED010,DC006,2711.0,0.0,86.73,2624.27,215.0,2409.27
2026-02-13,MED010,DC007,2588.0,0.0,99.59,2488.41,319.0,2169.41
2026-02-13,MED010,DC008,2290.0,0.0,31.14,2258.86,218.0,2040.86
2026-02-13,MED011,DC001,756.0,0.0,51.53,704.47,50.0,654.47
