promotion_id,sku_id,dc_id,promotion_type,discount_percentage,start_date,end_date
PRM001,MED006,DC004,Seasonal Bundle,0.1,2026-07-20,2026-08-03
PRM002,MED018,DC001,BOGO,0.25,2026-04-08,2026-04-20
PRM003,MED012,DC007,BOGO,0.25,2026-06-28,2026-07-04
PRM004,MED027,DC006,Discount,0.1,2026-05-16,2026-05-31
PRM005,MED022,DC007,Seasonal Bundle,0.25,2026-06-29,2026-07-08
PRM006,MED003,DC008,BOGO,0.2,2026-03-17,2026-03-27
PRM007,MED008,DC007,BOGO,0.25,2026-07-04,2026-07-09
PRM008,MED004,DC004,Seasonal Bundle,0.25,2026-07-05,2026-07-15
PRM009,MED029,DC001,BOGO,0.15,2026-04-16,2026-04-25
PRM010,MED029,DC008,Seasonal Bundle,0.15,2026-03-26,2026-03-31
PRM011,MED011,DC005,Discount,0.25,2026-07-14,2026-07-19
PRM012,MED015,DC002,BOGO,0.15,2026-06-21,2026-06-27
PRM013,MED019,DC005,Discount,0.25,2026-06-09,2026-06-21
PRM014,MED030,DC003,Discount,0.15,2026-06-01,2026-06-09
PRM015,MED018,DC007,Discount,0.2,2026-05-21,2026-06-03
PRM016,MED019,DC005,Discount,0.25,2026-07-23,2026-08-06
PRM017,MED029,DC008,BOGO,0.25,2026-05-22,2026-06-01
PRM018,MED021,DC004,Discount,0.25,2026-04-25,2026-05-09
PRM019,MED027,DC001,BOGO,0.25,2026-05-15,2026-05-27
PRM020,MED010,DC008,Discount,0.2,2026-03-04,2026-03-11
