sku_id,supplier_id,dc_id,lead_time_days
MED001,SUP005,DC001,3
MED001,SUP005,DC002,3
MED001,SUP005,DC003,2
MED001,SUP005,DC004,8
MED001,SUP005,DC005,5
MED001,SUP005,DC006,7
MED001,SUP005,DC007,6
MED001,SUP005,DC008,4
MED002,SUP005,DC001,7
MED002,SUP005,DC002,2
MED002,SUP005,DC003,6
MED002,SUP005,DC004,4
MED002,SUP005,DC005,8
MED002,SUP005,DC006,10
MED002,SUP005,DC007,7
MED002,SUP005,DC008,8
MED003,SUP003,DC001,5
MED003,SUP003,DC002,3
MED003,SUP003,DC003,4
MED003,SUP003,DC004,7
MED003,SUP003,DC005,6
MED003,SUP003,DC006,8
MED003,SUP003,DC007,6
MED003,SUP003,DC008,6
MED003,SUP002,DC001,3
MED003,SUP002,DC002,2
MED003,SUP002,DC003,5
MED003,SUP002,DC004,8
MED003,SUP002,DC005,9
MED003,SUP002,DC006,6
MED003,SUP002,DC007,3
MED003,SUP002,DC008,8
MED004,SUP005,DC001,5
MED004,SUP005,DC002,3
MED004,SUP005,DC003,4
MED004,SUP005,DC004,4
MED004,SUP005,DC005,6
MED004,SUP005,DC006,8
MED004,SUP005,DC007,5
MED004,SUP005,DC008,5
MED005,SUP005,DC001,7
MED005,SUP005,DC002,6
MED005,SUP005,DC003,2
MED005,SUP005,DC004,8
MED005,SUP005,DC005,7
MED005,SUP005,DC006,6
MED005,SUP005,DC007,4
MED005,SUP005,DC008,6
MED005,SUP003,DC001,3
MED005,SUP003,DC002,2
MED005,SUP003,DC003,6
MED005,SUP003,DC004,5
MED005,SUP003,DC005,7
MED005,SUP003,DC006,8
MED005,SUP003,DC007,7
MED005,SUP003,DC008,5
MED006,SUP002,DC001,7
MED006,SUP002,DC002,5
MED006,SUP002,DC003,4
MED006,SUP002,DC004,4
MED006,SUP002,DC005,5
MED006,SUP002,DC006,9
MED006,SUP002,DC007,5
MED006,SUP002,DC008,4
MED006,SUP003,DC001,3
MED006,SUP003,DC002,4
MED006,SUP003,DC003,3
MED006,SUP003,DC004,6
MED006,SUP003,DC005,6
MED006,SUP003,DC006,9
MED006,SUP003,DC007,7
MED006,SUP003,DC008,7
MED007,SUP001,DC001,3
MED007,SUP001,DC002,3
MED007,SUP001,DC003,6
MED007,SUP001,DC004,4
MED007,SUP001,DC005,7
MED007,SUP001,DC006,10
MED007,SUP001,DC007,7
MED007,SUP001,DC008,5
MED008,SUP002,DC001,5
MED008,SUP002,DC002,4
MED008,SUP002,DC003,2
MED008,SUP002,DC004,6
MED008,SUP002,DC005,6
MED008,SUP002,DC006,7
MED008,SUP002,DC007,3
MED008,SUP002,DC008,6
MED008,SUP001,DC001,7
MED008,SUP001,DC002,5
